%time,field.header.seq,field.header.stamp,field.header.frame_id,field.channels0,field.channels1,field.channels2,field.channels3,field.channels4,field.channels5,field.channels6,field.channels7
1531943920327209193,1072,1531943920326549104,,1500,1557,1396,1513,1527,1527,1500,2036
1531943920769499794,1073,1531943920766498130,,1500,1546,1412,1512,1524,1524,1500,2036
1531943921003115921,1074,1531943921002673878,,1500,1540,1420,1509,1519,1519,1500,2036
1531943921324022767,1075,1531943921323721938,,1500,1526,1404,1508,1516,1516,1500,2036
1531943921713706862,1076,1531943921706199806,,1500,1520,1380,1511,1522,1522,1500,2036
1531943921988808117,1077,1531943921988620535,,1500,1519,1372,1513,1526,1526,1500,2036
1531943922329009576,1078,1531943922328130610,,1500,1523,1380,1512,1525,1525,1500,2036
1531943922707145479,1079,1531943922706839211,,1500,1528,1388,1513,1527,1527,1500,2036
1531943923005311067,1080,1531943923005037662,,1500,1533,1380,1510,1521,1521,1500,2036
1531943923390763888,1081,1531943923390345333,,1500,1536,1388,1511,1523,1523,1500,2036
1531943923681537910,1082,1531943923679325934,,1500,1540,1388,1508,1516,1516,1500,2036
1531943924048422834,1083,1531943924048071478,,1500,1540,1364,1506,1512,1512,1500,2036
1531943924488986945,1084,1531943924488571461,,1500,1546,1372,1511,1523,1523,1500,2036
1531943924886438171,1085,1531943924886075199,,1500,1546,1348,1519,1539,1539,1500,2036
1531943925227289554,1086,1531943925226504667,,1500,1547,1340,1533,1567,1567,1500,2036
1531943925584435454,1087,1531943925583182988,,1500,1549,1364,1533,1566,1566,1500,2036
1531943925979468568,1088,1531943925970640950,,1500,1534,1372,1527,1555,1555,1500,2036
1531943926405126032,1089,1531943926398006524,,1500,1514,1388,1526,1552,1552,1500,2036
1531943926657134845,1090,1531943926654973428,,1500,1501,1388,1516,1533,1533,1500,2036
1531943927025692660,1091,1531943927025331864,,1500,1484,1388,1519,1539,1539,1500,2036
1531943927352951429,1092,1531943927352648808,,1500,1472,1148,1513,1527,1527,1500,2036
1531943927688233537,1093,1531943927687697479,,1500,1468,1100,1505,1510,1510,1500,2036
1531943928030737105,1094,1531943928028767334,,1500,1456,1100,1500,1500,1500,1500,2036
1531943928331219041,1095,1531943928330913508,,1500,1447,1100,1498,1495,1495,1500,2036
1531943928650634953,1096,1531943928650405131,,1500,1440,1100,1491,1482,1482,1500,2036
1531943929052253611,1097,1531943929051731056,,1500,1437,1100,1476,1452,1452,1500,2036
1531943929336343852,1098,1531943929333073774,,1500,1448,1100,1466,1432,1432,1500,2036
1531943929613735060,1099,1531943929613407095,,1500,1460,1100,1457,1414,1414,1500,2036
1531943930011874750,1100,1531943930011358692,,1500,1481,1100,1452,1404,1404,1500,2036
1531943930326799389,1101,1531943930326309218,,1500,1493,1100,1457,1414,1414,1500,2036
1531943930613926849,1102,1531943930613195497,,1500,1500,1100,1462,1424,1424,1500,2036
1531943930888788199,1103,1531943930888476810,,1500,1501,1100,1469,1437,1437,1500,2036
1531943931247651832,1104,1531943931246461668,,1500,1500,1100,1481,1462,1462,1500,2036
1531943931586150209,1105,1531943931585427336,,1500,1488,1100,1492,1484,1484,1500,2036
1531943931870354375,1106,1531943931870068042,,1500,1474,1100,1507,1514,1514,1500,2036
1531943932251929612,1107,1531943932250096767,,1500,1458,1100,1529,1559,1559,1500,2036
1531943932619140618,1108,1531943932611605978,,1500,1444,1100,1532,1565,1565,1500,2036
1531943932963207804,1109,1531943932962942335,,1500,1431,1100,1534,1569,1569,1500,2036
1531943933255757744,1110,1531943933255144727,,1500,1430,1100,1542,1584,1584,1500,2036
1531943933603265250,1111,1531943933602857894,,1500,1433,1100,1554,1608,1608,1500,2036
1531943933823114805,1112,1531943933822957591,,1500,1440,1100,1547,1595,1595,1500,2036
1531943934253686013,1113,1531943934253461056,,1500,1445,1100,1550,1600,1600,1500,2036
1531943934473204565,1114,1531943934470209621,,1500,1449,1100,1541,1582,1582,1500,2036
1531943934789199925,1115,1531943934788073569,,1500,1456,1100,1528,1556,1556,1500,2036
1531943935008806349,1116,1531943935000729634,,1500,1461,1100,1516,1532,1532,1500,2036
1531943935317418910,1117,1531943935314751674,,1500,1461,1100,1509,1518,1518,1500,2036
1531943935735152627,1118,1531943935734925110,,1500,1456,1100,1501,1502,1502,1500,2036
1531943936063671700,1119,1531943936062516224,,1500,1446,1100,1496,1492,1492,1500,2036
1531943936492338107,1120,1531943936491787841,,1500,1420,1100,1489,1478,1478,1500,2036
1531943936867581843,1121,1531943936867104153,,1500,1397,1100,1496,1492,1492,1500,2036
1531943937255800294,1122,1531943937255368075,,1500,1362,1100,1497,1494,1494,1500,2036
1531943937555662203,1123,1531943937555475805,,1500,1351,1100,1503,1506,1506,1500,2036
1531943937875868473,1124,1531943937874964707,,1500,1341,1100,1516,1533,1533,1500,2036
1531943938197905094,1125,1531943938197671721,,1500,1323,1100,1531,1563,1563,1500,2036
1531943938471239508,1126,1531943938470902616,,1500,1324,1100,1536,1573,1573,1500,2036
1531943938790255779,1127,1531943938789741960,,1500,1319,1100,1552,1604,1604,1500,2036
1531943939111312829,1128,1531943939111058752,,1500,1294,1100,1560,1620,1620,1500,2036
1531943939460104567,1129,1531943939459813274,,1500,1291,1100,1580,1660,1660,1500,2036
1531943939872987314,1130,1531943939872689141,,1500,1271,1100,1615,1730,1730,1500,2036
1531943940212296593,1131,1531943940211242076,,1500,1258,1100,1606,1712,1712,1500,2036
1531943940622319053,1132,1531943940622095119,,1500,1265,1100,1610,1721,1721,1500,2036
1531943940929068546,1133,1531943940926823641,,1500,1237,1100,1608,1716,1716,1500,2036
1531943941205190394,1134,1531943941204606720,,1500,1191,1100,1602,1704,1704,1500,2036
1531943941609812978,1135,1531943941609564213,,1500,1203,1100,1598,1696,1696,1500,2036
1531943941910439371,1136,1531943941909744114,,1500,1189,1100,1593,1687,1687,1500,2036
1531943942388907748,1137,1531943942388193323,,1500,1178,1100,1579,1658,1658,1500,2036
1531943942593557290,1138,1531943942593330284,,1500,1188,1100,1570,1641,1641,1500,2036
1531943942955297319,1139,1531943942955168521,,1500,1200,1100,1563,1626,1626,1500,2036
